age,browse_duration,purchase_count,avg_order_value,gender,city_tier,device_type,return_rate,coupon_usage,favorite_count,click_through_rate,last_purchase_days,app_install_count,membership_level,social_media_active,has_children,education_level,income_bracket,label
35,25,33,1243,女,4,Android,0.02,14,15,0.11,253,5,普通,是,否,本科,中,1
44,46,28,1124,男,5,iOS,0.01,9,38,0.25,284,0,普通,否,是,博士,高,1
34,181,45,505,女,1,Web,0.21,10,25,0.28,293,1,普通,是,是,本科,低,1
60,284,50,782,女,3,Web,0.16,19,44,0.99,305,2,VIP,是,是,高中,中,1
64,269,20,954,女,2,iOS,0.01,18,6,0.24,89,2,普通,否,否,本科,低,1
33,103,31,1659,男,5,iOS,0.29,10,11,0.84,56,1,普通,否,是,硕士,低,1
21,18,46,1426,女,2,,0.28,12,21,0.7,,1,超级VIP,否,否,硕士,中,1
49,135,24,,男,1,Web,0.07,12,,0.3,217,1,普通,否,否,本科,高,1
44,2,26,342,女,3,Android,0.29,6,27,0.8,95,0,VIP,,是,本科,中,1
38,164,,535,女,4,Android,0.23,8,76,0.53,248,1,普通,否,否,高中,中,1
35,275,,1823,男,5,iOS,0,16,52,0.84,361,3,普通,是,是,本科,低,1
45,290,36,330,女,1,Android,0.24,17,13,0.85,327,5,普通,是,是,本科,高,1
22,3,25,1468,女,4,Android,0.14,12,,0.14,178,2,普通,否,是,高中,中,1
29,171,11,621,男,2,iOS,0.25,11,47,0.13,209,5,普通,否,是,硕士,中,1
43,46,40,900,女,5,iOS,0.23,8,42,0.12,119,0,普通,是,否,本科,中,1
,3,,449,女,3,Android,0.09,6,94,0.76,142,,普通,是,,硕士,中,1
64,76,29,354,女,3,Android,0.02,4,28,0.73,101,0,VIP,是,是,本科,中,1
65,274,17,301,女,3,Web,0.12,12,21,,117,1,普通,否,是,本科,中,1
34,87,34,,女,2,iOS,0.05,15,85,0.92,321,2,普通,是,否,本科,低,1
31,224,30,1519,男,3,Web,0.07,13,77,0.79,304,5,普通,是,是,高中,低,1
41,151,15,790,女,4,Android,0.03,10,84,0.05,54,0,普通,是,否,本科,高,1
24,208,31,1256,男,4,iOS,0.09,8,48,0.69,316,5,VIP,是,是,,低,1
40,,44,,男,5,Android,0.08,15,35,0.79,286,1,普通,是,是,硕士,低,1
32,62,38,1285,男,4,iOS,0.03,7,11,0.32,152,2,超级VIP,否,否,硕士,,1
54,,38,160,女,4,Android,0.06,9,43,0.21,111,2,普通,是,是,本科,中,1
30,198,23,1458,男,4,Android,0.22,10,82,0.81,194,3,普通,否,是,本科,中,1
37,270,44,932,男,4,Web,0.2,6,17,0.29,187,4,普通,否,是,硕士,中,1
42,233,35,269,男,5,Android,0.01,6,65,0.27,192,1,普通,是,是,高中,中,1
62,245,38,1844,女,2,Android,0.17,14,26,0.5,60,,普通,否,否,本科,中,1
35,,42,736,男,5,Android,0.01,19,52,0.22,325,0,普通,否,否,高中,低,1
53,222,28,925,女,3,Android,0.21,16,28,0.61,48,2,普通,是,否,高中,低,1
39,51,12,1037,女,5,Android,,20,94,0.09,281,1,普通,是,是,高中,中,1
51,,40,278,女,3,Android,0.07,12,97,0.54,31,0,普通,否,是,本科,低,1
36,45,24,521,男,1,Android,0.08,4,32,0.48,296,0,普通,否,否,高中,中,1
59,72,11,963,女,3,Web,0.09,11,20,0.87,28,5,VIP,是,否,本科,中,1
54,270,30,1183,女,5,,0.11,,73,0.59,293,2,VIP,否,是,硕士,低,1
38,101,25,572,男,2,Android,0.14,12,98,0.52,127,1,超级VIP,是,否,本科,低,1
23,291,43,601,男,5,Android,0.24,9,12,0.28,13,2,普通,是,否,高中,高,1
21,66,14,254,女,2,Android,0.23,8,42,0.21,192,2,普通,是,否,,低,1
41,56,11,609,男,1,Web,0.12,18,57,0.42,134,2,普通,是,,本科,中,1
,132,21,1910,女,3,iOS,0.1,17,40,0.31,274,5,VIP,是,否,本科,高,1
57,82,28,915,男,4,Android,0.06,20,53,0.68,276,4,普通,否,是,本科,中,1
19,19,19,377,女,4,Android,,17,77,0.46,131,2,VIP,是,是,本科,中,1
28,40,19,1787,女,3,Web,0.15,6,57,0.78,318,4,普通,否,是,硕士,中,1
47,250,40,1387,男,4,Android,0.09,12,97,0.52,1,4,超级VIP,是,否,本科,中,1
25,99,50,690,女,2,iOS,0.18,3,73,0.88,174,2,普通,否,是,本科,中,1
43,192,33,1156,男,3,iOS,0.07,9,87,,263,2,普通,否,否,本科,中,1
23,108,13,343,男,4,iOS,0.05,10,14,0.34,139,,VIP,是,否,本科,中,1
43,,38,1117,男,4,Android,0.22,5,11,0.68,101,1,普通,否,是,本科,低,1
37,195,47,761,男,4,iOS,0.05,,58,,171,1,普通,是,否,本科,低,1
28,62,45,893,男,4,Android,0.11,8,75,0.89,326,0,普通,是,是,,高,1
40,176,46,1929,女,4,Android,0.16,15,88,0.23,198,4,普通,否,是,,中,1
19,208,19,784,男,4,Android,0.21,16,52,0.17,236,3,超级VIP,是,否,本科,中,1
19,146,15,1256,女,2,Android,0.12,18,62,0.19,250,4,VIP,否,否,高中,高,1
37,278,24,1892,女,1,iOS,0.09,3,28,0.17,178,0,,是,否,本科,中,1
18,8,43,803,女,2,Android,0.07,10,2,0.37,262,3,普通,是,否,硕士,低,1
54,117,24,767,女,2,iOS,0.01,19,94,0.69,119,3,普通,否,否,硕士,中,1
,93,29,578,男,4,Android,0.14,14,88,0.64,17,2,普通,是,否,本科,高,1
34,143,13,1785,女,3,Android,0.09,8,36,0.72,211,1,普通,是,否,本科,低,1
26,288,21,1100,女,4,iOS,,20,62,0.73,350,,普通,是,否,本科,低,1
28,13,42,488,男,3,Android,0.04,,22,0,275,5,普通,否,否,本科,低,1
32,256,27,925,男,3,Web,0.17,9,48,0.68,278,1,普通,否,否,本科,中,1
47,269,41,221,女,,Android,0.02,16,76,0.08,21,5,VIP,是,否,高中,高,1
48,220,19,412,女,3,Web,0.18,,2,0.19,168,3,普通,是,是,硕士,低,1
22,110,21,201,男,4,Android,0.17,20,35,0.01,12,0,普通,是,是,高中,高,1
61,182,14,1952,女,4,,0.15,16,9,0.09,266,,普通,是,否,硕士,高,1
39,214,20,1503,女,4,,0.15,18,49,0.18,271,4,普通,否,是,本科,低,1
46,191,33,876,男,4,Android,0.26,6,45,0.78,,3,普通,是,是,本科,中,1
25,159,30,269,男,2,Android,0.23,16,77,0.35,58,1,普通,是,否,硕士,高,1
28,206,,1444,女,4,Android,0.17,11,9,0.51,238,5,普通,否,否,本科,中,1
58,268,42,162,男,5,iOS,0.24,7,66,,254,1,普通,否,是,高中,低,1
,,20,389,女,1,Android,0.26,4,89,0.57,96,2,普通,是,否,本科,中,1
21,72,21,1020,女,5,iOS,0.09,11,66,0.97,1,1,普通,是,否,高中,中,1
35,16,,360,男,2,Android,0.03,12,31,0.36,174,2,普通,否,否,本科,低,1
31,293,28,286,男,4,Android,0.25,19,,0.95,74,1,普通,否,是,硕士,中,1
55,69,26,368,女,3,Android,0.09,18,5,0.64,338,5,VIP,否,否,,中,1
50,103,,1492,男,3,iOS,0.07,18,25,0.67,190,4,普通,是,是,高中,中,1
32,52,15,1209,女,4,iOS,0.14,19,7,0.92,84,,普通,否,否,博士,高,1
42,275,24,1084,女,5,iOS,0.22,8,7,0.76,258,4,普通,是,是,本科,中,1
31,265,19,941,,2,iOS,0.11,10,72,0.9,165,2,普通,是,是,高中,中,1
57,294,28,534,女,3,Android,0.17,4,95,0.72,84,5,普通,是,是,本科,中,1
20,241,15,970,男,3,Android,0.09,12,92,0.03,243,5,普通,是,否,高中,中,1
25,100,15,1533,女,5,Android,,19,82,0.19,36,1,VIP,否,是,高中,中,1
39,29,35,452,女,1,iOS,0.16,13,76,0.28,337,2,超级VIP,是,否,本科,高,1
30,268,48,1441,女,4,Android,0.02,18,40,0.34,,4,普通,否,否,本科,中,1
64,130,27,1052,女,4,Android,0.11,14,87,0.95,66,3,普通,是,是,本科,低,1
,,33,748,女,3,Android,0.04,19,,0.74,318,0,普通,是,是,本科,高,1
25,95,24,833,女,1,Web,0.27,4,14,0.71,362,5,普通,是,否,高中,高,1
53,270,23,1328,女,3,Android,0.14,13,85,0.94,289,0,普通,是,是,本科,高,1
44,209,39,1105,女,3,Android,0.07,7,11,0.29,256,3,VIP,否,是,本科,低,1
40,185,,1692,女,5,Android,0.14,10,18,0.59,194,5,VIP,是,否,本科,高,1
60,75,50,,女,2,Web,0.26,19,58,0.47,76,2,普通,是,否,本科,低,1
42,210,37,139,女,4,Android,0.06,11,44,0.74,80,3,超级VIP,是,否,本科,低,1
50,279,12,,女,2,iOS,0.24,8,23,0.07,168,4,普通,是,否,高中,中,1
57,172,43,,女,2,Android,0.01,15,76,0.58,329,3,超级VIP,否,是,高中,低,1
60,155,23,1992,女,3,Android,0.04,9,63,0.73,236,,普通,是,否,本科,低,1
22,60,43,1106,男,5,iOS,0.1,14,60,0.28,7,2,VIP,是,是,本科,中,1
48,197,35,1497,男,3,iOS,0.1,11,41,0.41,50,,普通,否,否,高中,低,1
39,181,46,1600,,5,Android,,18,56,0.85,319,5,VIP,否,是,高中,中,1
38,164,39,1386,男,3,iOS,0.05,6,34,0.27,360,4,普通,是,是,硕士,中,1
63,7,34,836,女,4,Web,0.02,8,60,0.03,2,4,普通,是,是,本科,低,1
18,55,47,249,女,4,Web,0.24,14,95,0.37,61,3,普通,是,否,本科,高,1
32,176,14,1096,男,3,iOS,0.24,3,3,0.54,170,3,VIP,是,是,博士,中,1
27,210,49,1269,女,3,Android,0.22,19,40,0.83,341,5,VIP,是,否,,低,1
35,202,48,1620,女,2,Android,0.03,12,10,0.57,339,0,普通,是,是,本科,低,1
44,272,26,356,女,5,Android,0.25,11,79,0.89,74,0,普通,是,否,高中,高,1
68,12,20,252,女,3,Android,0.03,7,92,0.46,291,2,普通,是,是,高中,低,1
41,112,46,1657,女,5,Android,0.08,13,,0.12,355,4,,是,是,高中,中,1
,,26,,女,4,iOS,0.11,20,69,0.29,341,0,普通,否,是,本科,中,1
39,102,40,,女,3,Android,0.17,15,52,0.16,116,0,VIP,否,是,硕士,高,1
,186,21,684,女,4,Android,0.17,17,77,0.93,166,5,普通,否,是,高中,低,1
58,216,45,1950,男,3,Web,0.21,17,27,0.85,272,4,VIP,是,否,高中,中,1
49,221,26,1786,女,,Web,0.12,4,80,0.17,124,1,普通,否,是,本科,中,1
30,90,38,342,女,4,Android,0.07,16,33,0.93,17,5,VIP,是,否,本科,中,1
,61,14,1233,男,4,Android,0.24,5,94,0.92,,1,普通,是,是,本科,低,1
35,110,41,1467,女,4,Web,0.29,9,2,0.56,86,4,普通,是,否,硕士,低,1
